,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1030,2017-07-13,0.0019933371809332735,-0.014850135695270196,0.016400025028594757,0.0019933371809332735,0.0019933371809332735,-0.0014850352858362858,-0.0014850352858362858,-0.0014850352858362858,-0.00010746332920241721,-0.00010746332920241721,-0.00010746332920241721,-0.0013775719566338684,-0.0013775719566338684,-0.0013775719566338684,0.0,0.0,0.0,0.0005083018950969877
1031,2017-07-14,0.0020037023000649464,-0.014015981649874302,0.017254761642935157,0.0020037023000649464,0.0020037023000649464,-0.0009551309683195402,-0.0009551309683195402,-0.0009551309683195402,0.0005704791033616156,0.0005704791033616156,0.0005704791033616156,-0.001525610071681156,-0.001525610071681156,-0.001525610071681156,0.0,0.0,0.0,0.0010485713317454062
1032,2017-07-15,0.0020140674191966197,-0.014931362204107311,0.015312583734594348,0.0020140674191966197,0.0020140674191966197,-0.001403785981019197,-0.001403785981019197,-0.001403785981019197,0.0002624921183742417,0.0002624921183742417,0.0002624921183742417,-0.0016662780993934388,-0.0016662780993934388,-0.0016662780993934388,0.0,0.0,0.0,0.0006102814381774228
1033,2017-07-16,0.002024432538328294,-0.01436537287465921,0.01611262302417118,0.002024432538328294,0.002024432538328294,-0.0014468439326838435,-0.0014468439326838435,-0.0014468439326838435,0.00034884923000049514,0.00034884923000049514,0.00034884923000049514,-0.0017956931626843388,-0.0017956931626843388,-0.0017956931626843388,0.0,0.0,0.0,0.0005775886056444504
1034,2017-07-17,0.0020347976574599668,-0.01597754575013762,0.016308376259059013,0.0020347976574599668,0.0020347976574599668,-0.002256484434531267,-0.002256484434531267,-0.002256484434531267,-0.0003460951737091274,-0.0003460951737091274,-0.0003460951737091274,-0.0019103892608221392,-0.0019103892608221392,-0.0019103892608221392,0.0,0.0,0.0,-0.00022168677707130012
1035,2017-07-18,0.00204516277659164,-0.01616371888096925,0.014227009172069061,0.00204516277659164,0.00204516277659164,-0.0023855501826018357,-0.0023855501826018357,-0.0023855501826018357,-0.00037812922742439675,-0.00037812922742439675,-0.00037812922742439675,-0.0020074209551774387,-0.0020074209551774387,-0.0020074209551774387,0.0,0.0,0.0,-0.00034038740601019567
1036,2017-07-19,0.002055527895723313,-0.016499950518305287,0.015723839430892304,0.002055527895723313,0.002055527895723313,-0.0024345820542156045,-0.0024345820542156045,-0.0024345820542156045,-0.00035013272140159847,-0.00035013272140159847,-0.00035013272140159847,-0.0020844493328140063,-0.0020844493328140063,-0.0020844493328140063,0.0,0.0,0.0,-0.00037905415849229154
1037,2017-07-20,0.0020658930148549875,-0.015327533137987412,0.014476665701154981,0.0020658930148549875,0.0020658930148549875,-0.0022472711379214025,-0.0022472711379214025,-0.0022472711379214025,-0.00010746332920354807,-0.00010746332920354807,-0.00010746332920354807,-0.0021398078087178545,-0.0021398078087178545,-0.0021398078087178545,0.0,0.0,0.0,-0.00018137812306641497
1038,2017-07-21,0.0020762581339866604,-0.015244624613665077,0.01567259510901063,0.0020762581339866604,0.0020762581339866604,-0.0016020668715432276,-0.0016020668715432276,-0.0016020668715432276,0.0005704791033619814,0.0005704791033619814,0.0005704791033619814,-0.0021725459749052088,-0.0021725459749052088,-0.0021725459749052088,0.0,0.0,0.0,0.00047419126244343276
1039,2017-07-22,0.0020866232531183333,-0.016021308976194356,0.015673176925991558,0.0020866232531183333,0.0020866232531183333,-0.0019199582813670321,-0.0019199582813670321,-0.0019199582813670321,0.00026249211837422987,0.00026249211837422987,0.00026249211837422987,-0.002182450399741262,-0.002182450399741262,-0.002182450399741262,0.0,0.0,0.0,0.00016666497175130113
1040,2017-07-23,0.0020969883722500066,-0.014304661795018034,0.016564856517070167,0.0020969883722500066,0.0020969883722500066,-0.0018211927720359566,-0.0018211927720359566,-0.0018211927720359566,0.0003488492300000999,0.0003488492300000999,0.0003488492300000999,-0.0021700420020360563,-0.0021700420020360563,-0.0021700420020360563,0.0,0.0,0.0,0.00027579560021405
1041,2017-07-24,0.0021073534913816807,-0.015632750501100124,0.01483953492396898,0.0021073534913816807,0.0021073534913816807,-0.002482645523519098,-0.002482645523519098,-0.002482645523519098,-0.0003460951737095006,-0.0003460951737095006,-0.0003460951737095006,-0.0021365503498095976,-0.0021365503498095976,-0.0021365503498095976,0.0,0.0,0.0,-0.00037529203213741745
1042,2017-07-25,0.002117718610513354,-0.016536622320637868,0.01589939288867589,0.002117718610513354,0.002117718610513354,-0.0024619951683742015,-0.0024619951683742015,-0.0024619951683742015,-0.00037812922742342156,-0.00037812922742342156,-0.00037812922742342156,-0.0020838659409507802,-0.0020838659409507802,-0.0020838659409507802,0.0,0.0,0.0,-0.0003442765578608475
1043,2017-07-26,0.002128083729645027,-0.015052402939918896,0.016107027080223286,0.002128083729645027,0.002128083729645027,-0.0023646049124445867,-0.0023646049124445867,-0.0023646049124445867,-0.0003501327214010985,-0.0003501327214010985,-0.0003501327214010985,-0.0020144721910434877,-0.0020144721910434877,-0.0020144721910434877,0.0,0.0,0.0,-0.00023652118279955973
1044,2017-07-27,0.0021384488487767002,-0.015266542164290927,0.01573618991346256,0.0021384488487767002,0.0021384488487767002,-0.002038822791743037,-0.002038822791743037,-0.002038822791743037,-0.00010746332920228366,-0.00010746332920228366,-0.00010746332920228366,-0.0019313594625407536,-0.0019313594625407536,-0.0019313594625407536,0.0,0.0,0.0,9.962605703366318e-05
1045,2017-07-28,0.0021488139679083744,-0.015056433813244058,0.016571219700056608,0.0021488139679083744,0.0021488139679083744,-0.0012674448977028714,-0.0012674448977028714,-0.0012674448977028714,0.0005704791033616099,0.0005704791033616099,0.0005704791033616099,-0.001837924001064481,-0.001837924001064481,-0.001837924001064481,0.0,0.0,0.0,0.000881369070205503
1046,2017-07-29,0.0021591790870400473,-0.014058158432498068,0.01653896317975235,0.0021591790870400473,0.0021591790870400473,-0.0014753629652473892,-0.0014753629652473892,-0.0014753629652473892,0.0002624921183742671,0.0002624921183742671,0.0002624921183742671,-0.0017378550836216564,-0.0017378550836216564,-0.0017378550836216564,0.0,0.0,0.0,0.0006838161217926581
1047,2017-07-30,0.0021695442061717206,-0.015287752244071863,0.015349537858076759,0.0021695442061717206,0.0021695442061717206,-0.0012861647871288439,-0.0012861647871288439,-0.0012861647871288439,0.0003488492300009801,0.0003488492300009801,0.0003488492300009801,-0.001635014017129824,-0.001635014017129824,-0.001635014017129824,0.0,0.0,0.0,0.0008833794190428767
1048,2017-07-31,0.0021799093253033934,-0.015638793607987925,0.015324170542566594,0.0021799093253033934,0.0021799093253033934,-0.001879404018455971,-0.001879404018455971,-0.001879404018455971,-0.0003460951737084738,-0.0003460951737084738,-0.0003460951737084738,-0.0015333088447474974,-0.0015333088447474974,-0.0015333088447474974,0.0,0.0,0.0,0.00030050530684742243
1049,2017-08-01,0.002190274444435068,-0.015366871875486156,0.01666914759252222,0.002190274444435068,0.002190274444435068,-0.0018146979436251633,-0.0018146979436251633,-0.0018146979436251633,-0.00037812922742380873,-0.00037812922742380873,-0.00037812922742380873,-0.0014365687162013548,-0.0014365687162013548,-0.0014365687162013548,0.0,0.0,0.0,0.0003755765008099047
